x;letter;letter_f;ieme;ieme_f;ieme_number;ieme_number_f
15000;quinze-mille;quinze-mille;quinze-millième;quinze-millième;15000ème;15000ème
16000;seize-mille;seize-mille;seize-millième;seize-millième;16000ème;16000ème
17000;dix-sept-mille;dix-sept-mille;dix-sept-millième;dix-sept-millième;17000ème;17000ème
18000;dix-huit-mille;dix-huit-mille;dix-huit-millième;dix-huit-millième;18000ème;18000ème
19000;dix-neuf-mille;dix-neuf-mille;dix-neuf-millième;dix-neuf-millième;19000ème;19000ème
20000;vingt-mille;vingt-mille;vingt-millième;vingt-millième;20000ème;20000ème
21000;vingt-et-un-mille;vingt-et-un-mille;vingt-et-un-millième;vingt-et-un-millième;21000ème;21000ème
22000;vingt-deux-mille;vingt-deux-mille;vingt-deux-millième;vingt-deux-millième;22000ème;22000ème
23000;vingt-trois-mille;vingt-trois-mille;vingt-trois-millième;vingt-trois-millième;23000ème;23000ème
24000;vingt-quatre-mille;vingt-quatre-mille;vingt-quatre-millième;vingt-quatre-millième;24000ème;24000ème
25000;vingt-cinq-mille;vingt-cinq-mille;vingt-cinq-millième;vingt-cinq-millième;25000ème;25000ème
26000;vingt-six-mille;vingt-six-mille;vingt-six-millième;vingt-six-millième;26000ème;26000ème
27000;vingt-sept-mille;vingt-sept-mille;vingt-sept-millième;vingt-sept-millième;27000ème;27000ème
28000;vingt-huit-mille;vingt-huit-mille;vingt-huit-millième;vingt-huit-millième;28000ème;28000ème
29000;vingt-neuf-mille;vingt-neuf-mille;vingt-neuf-millième;vingt-neuf-millième;29000ème;29000ème
30000;trente-mille;trente-mille;trente-millième;trente-millième;30000ème;30000ème
31000;trente-et-un-mille;trente-et-un-mille;trente-et-un-millième;trente-et-un-millième;31000ème;31000ème
32000;trente-deux-mille;trente-deux-mille;trente-deux-millième;trente-deux-millième;32000ème;32000ème
33000;trente-trois-mille;trente-trois-mille;trente-trois-millième;trente-trois-millième;33000ème;33000ème
34000;trente-quatre-mille;trente-quatre-mille;trente-quatre-millième;trente-quatre-millième;34000ème;34000ème
35000;trente-cinq-mille;trente-cinq-mille;trente-cinq-millième;trente-cinq-millième;35000ème;35000ème
36000;trente-six-mille;trente-six-mille;trente-six-millième;trente-six-millième;36000ème;36000ème
37000;trente-sept-mille;trente-sept-mille;trente-sept-millième;trente-sept-millième;37000ème;37000ème
38000;trente-huit-mille;trente-huit-mille;trente-huit-millième;trente-huit-millième;38000ème;38000ème
39000;trente-neuf-mille;trente-neuf-mille;trente-neuf-millième;trente-neuf-millième;39000ème;39000ème
40000;quarante-mille;quarante-mille;quarante-millième;quarante-millième;40000ème;40000ème
41000;quarante-et-un-mille;quarante-et-un-mille;quarante-et-un-millième;quarante-et-un-millième;41000ème;41000ème
42000;quarante-deux-mille;quarante-deux-mille;quarante-deux-millième;quarante-deux-millième;42000ème;42000ème
43000;quarante-trois-mille;quarante-trois-mille;quarante-trois-millième;quarante-trois-millième;43000ème;43000ème
44000;quarante-quatre-mille;quarante-quatre-mille;quarante-quatre-millième;quarante-quatre-millième;44000ème;44000ème
45000;quarante-cinq-mille;quarante-cinq-mille;quarante-cinq-millième;quarante-cinq-millième;45000ème;45000ème
46000;quarante-six-mille;quarante-six-mille;quarante-six-millième;quarante-six-millième;46000ème;46000ème
47000;quarante-sept-mille;quarante-sept-mille;quarante-sept-millième;quarante-sept-millième;47000ème;47000ème
48000;quarante-huit-mille;quarante-huit-mille;quarante-huit-millième;quarante-huit-millième;48000ème;48000ème
49000;quarante-neuf-mille;quarante-neuf-mille;quarante-neuf-millième;quarante-neuf-millième;49000ème;49000ème
50000;cinquante-mille;cinquante-mille;cinquante-millième;cinquante-millième;50000ème;50000ème
