x;letter;letter_f;ieme;ieme_f;ieme_number;ieme_number_f
586;cinq-cent-quatre-vingt-six;cinq-cent-quatre-vingt-six;cinq-cent-quatre-vingt-sixième;cinq-cent-quatre-vingt-sixième;586ème;586ème
587;cinq-cent-quatre-vingt-sept;cinq-cent-quatre-vingt-sept;cinq-cent-quatre-vingt-septième;cinq-cent-quatre-vingt-septième;587ème;587ème
588;cinq-cent-quatre-vingt-huit;cinq-cent-quatre-vingt-huit;cinq-cent-quatre-vingt-huitième;cinq-cent-quatre-vingt-huitième;588ème;588ème
589;cinq-cent-quatre-vingt-neuf;cinq-cent-quatre-vingt-neuf;cinq-cent-quatre-vingt-neuvième;cinq-cent-quatre-vingt-neuvième;589ème;589ème
590;cinq-cent-quatre-vingt-dix;cinq-cent-quatre-vingt-dix;cinq-cent-quatre-vingt-dixième;cinq-cent-quatre-vingt-dixième;590ème;590ème
591;cinq-cent-quatre-vingt-onze;cinq-cent-quatre-vingt-onze;cinq-cent-quatre-vingt-onzième;cinq-cent-quatre-vingt-onzième;591ème;591ème
592;cinq-cent-quatre-vingt-douze;cinq-cent-quatre-vingt-douze;cinq-cent-quatre-vingt-douzième;cinq-cent-quatre-vingt-douzième;592ème;592ème
593;cinq-cent-quatre-vingt-treize;cinq-cent-quatre-vingt-treize;cinq-cent-quatre-vingt-treizième;cinq-cent-quatre-vingt-treizième;593ème;593ème
594;cinq-cent-quatre-vingt-quatorze;cinq-cent-quatre-vingt-quatorze;cinq-cent-quatre-vingt-quatorzième;cinq-cent-quatre-vingt-quatorzième;594ème;594ème
595;cinq-cent-quatre-vingt-quinze;cinq-cent-quatre-vingt-quinze;cinq-cent-quatre-vingt-quinzième;cinq-cent-quatre-vingt-quinzième;595ème;595ème
596;cinq-cent-quatre-vingt-seize;cinq-cent-quatre-vingt-seize;cinq-cent-quatre-vingt-seizième;cinq-cent-quatre-vingt-seizième;596ème;596ème
597;cinq-cent-quatre-vingt-dix-sept;cinq-cent-quatre-vingt-dix-sept;cinq-cent-quatre-vingt-dix-septième;cinq-cent-quatre-vingt-dix-septième;597ème;597ème
598;cinq-cent-quatre-vingt-dix-huit;cinq-cent-quatre-vingt-dix-huit;cinq-cent-quatre-vingt-dix-huitième;cinq-cent-quatre-vingt-dix-huitième;598ème;598ème
599;cinq-cent-quatre-vingt-dix-neuf;cinq-cent-quatre-vingt-dix-neuf;cinq-cent-quatre-vingt-dix-neuvième;cinq-cent-quatre-vingt-dix-neuvième;599ème;599ème
600;six-cents;six-cents;six-centsième;six-centsième;600ème;600ème
601;six-cent-un;six-cent-un;six-cent-unième;six-cent-unième;601ème;601ème
602;six-cent-deux;six-cent-deux;six-cent-deuxième;six-cent-deuxième;602ème;602ème
603;six-cent-trois;six-cent-trois;six-cent-troisième;six-cent-troisième;603ème;603ème
604;six-cent-quatre;six-cent-quatre;six-cent-quatrième;six-cent-quatrième;604ème;604ème
605;six-cent-cinq;six-cent-cinq;six-cent-cinquième;six-cent-cinquième;605ème;605ème
606;six-cent-six;six-cent-six;six-cent-sixième;six-cent-sixième;606ème;606ème
607;six-cent-sept;six-cent-sept;six-cent-septième;six-cent-septième;607ème;607ème
608;six-cent-huit;six-cent-huit;six-cent-huitième;six-cent-huitième;608ème;608ème
609;six-cent-neuf ;six-cent-neuf ;six-cent-neuf ième;six-cent-neuf ième;609ème;609ème
610;six-cent-dix;six-cent-dix;six-cent-dixième;six-cent-dixième;610ème;610ème
611;six-cent-onze;six-cent-onze;six-cent-onzième;six-cent-onzième;611ème;611ème
612;six-cent-douze;six-cent-douze;six-cent-douzième;six-cent-douzième;612ème;612ème
613;six-cent-treize;six-cent-treize;six-cent-treizième;six-cent-treizième;613ème;613ème
614;six-cent-quatorze;six-cent-quatorze;six-cent-quatorzième;six-cent-quatorzième;614ème;614ème
615;six-cent-quinze;six-cent-quinze;six-cent-quinzième;six-cent-quinzième;615ème;615ème
616;six-cent-seize;six-cent-seize;six-cent-seizième;six-cent-seizième;616ème;616ème
617;six-cent-dix-sept;six-cent-dix-sept;six-cent-dix-septième;six-cent-dix-septième;617ème;617ème
618;six-cent-dix-huit;six-cent-dix-huit;six-cent-dix-huitième;six-cent-dix-huitième;618ème;618ème
619;six-cent-dix-neuf;six-cent-dix-neuf;six-cent-dix-neuvième;six-cent-dix-neuvième;619ème;619ème
620;six-cent-vingt;six-cent-vingt;six-cent-vingtième;six-cent-vingtième;620ème;620ème
621;six-cent-vingt-et-un;six-cent-vingt-et-un;six-cent-vingt-et-unième;six-cent-vingt-et-unième;621ème;621ème
622;six-cent-vingt-deux;six-cent-vingt-deux;six-cent-vingt-deuxième;six-cent-vingt-deuxième;622ème;622ème
623;six-cent-vingt-trois;six-cent-vingt-trois;six-cent-vingt-troisième;six-cent-vingt-troisième;623ème;623ème
